insecticide,surface,repnum,total mosquitoes,filename,num_mos,month,strain,hours,mort_pcent,miscount,species,resistance
deltamethrin,wood,2,12,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,12,0,fumoz,0.5,0,0,An. funestus,resistant
deltamethrin,wood,3,9,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,9,0,fumoz,0.5,11.11111111,0,An. funestus,resistant
control,cement,1,9,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,9,0,fumoz,0.5,0,0,An. funestus,resistant
control,cement,2,10,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,10,0,fumoz,0.5,0,0,An. funestus,resistant
control,cement,3,11,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,11,0,fumoz,0.5,0,0,An. funestus,resistant
deltamethrin,cement,1,13,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,13,0,fumoz,0.5,61.53846154,0,An. funestus,resistant
deltamethrin,cement,2,10,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,10,0,fumoz,0.5,50,0,An. funestus,resistant
deltamethrin,cement,3,8,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,8,0,fumoz,0.5,37.5,0,An. funestus,resistant
control,mud,1,9,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,9,0,fumoz,0.5,0,0,An. funestus,resistant
control,mud,2,9,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,9,0,fumoz,0.5,0,0,An. funestus,resistant
control,mud,3,8,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,8,0,fumoz,0.5,12.5,0,An. funestus,resistant
deltamethrin,mud,1,12,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,12,0,fumoz,0.5,33.33333333,0,An. funestus,resistant
deltamethrin,mud,2,13,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,13,0,fumoz,0.5,23.07692308,0,An. funestus,resistant
deltamethrin,mud,3,11,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,11,0,fumoz,0.5,36.36363636,0,An. funestus,resistant
control,wood,1,10,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,10,0,kisumu,0.5,0,0,An. gambiae,susceptible
control,wood,2,8,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,8,0,kisumu,0.5,0,0,An. gambiae,susceptible
control,wood,3,10,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,10,0,kisumu,0.5,0,0,An. gambiae,susceptible
deltamethrin,wood,1,11,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,11,0,kisumu,0.5,100,0,An. gambiae,susceptible
deltamethrin,wood,2,10,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,10,0,kisumu,0.5,100,0,An. gambiae,susceptible
deltamethrin,wood,3,10,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,10,0,kisumu,0.5,90,0,An. gambiae,susceptible
control,cement,1,8,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,8,0,kisumu,0.5,0,0,An. gambiae,susceptible
control,cement,2,10,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,10,0,kisumu,0.5,0,0,An. gambiae,susceptible
control,cement,3,11,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,11,0,kisumu,0.5,0,0,An. gambiae,susceptible
deltamethrin,cement,1,11,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,11,0,kisumu,0.5,81.81818182,0,An. gambiae,susceptible
deltamethrin,cement,2,11,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,11,0,kisumu,0.5,90.90909091,0,An. gambiae,susceptible
deltamethrin,cement,3,10,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,10,0,kisumu,0.5,100,0,An. gambiae,susceptible
control,mud,1,9,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,9,0,kisumu,0.5,0,0,An. gambiae,susceptible
control,mud,2,4,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,4,0,kisumu,0.5,50,0,An. gambiae,susceptible
